VARIABLES=X/D,CP(0),CP(30),CP(60),CP(90),CP(120),CP(150),CP(180)
ZONE T="BODY CP AT MACH=  2.36 ALPHA=  0.00"
      3.067500  -0.06294  -0.06378  -0.06351  -0.05699  -0.04288  -0.02711  -0.02006
      3.135000  -0.05989  -0.06099  -0.06133  -0.05546  -0.04181  -0.02629  -0.01930
      3.225000  -0.05656  -0.05799  -0.05912  -0.05409  -0.04108  -0.02590  -0.01900
      3.337500  -0.05224  -0.05407  -0.05615  -0.05214  -0.03987  -0.02509  -0.01831
      3.472500  -0.04756  -0.04984  -0.05300  -0.05014  -0.03873  -0.02441  -0.01777
      3.630000  -0.04244  -0.04522  -0.04954  -0.04792  -0.03745  -0.02365  -0.01717
      3.810000  -0.03714  -0.04043  -0.04596  -0.04563  -0.03614  -0.02290  -0.01660
      4.012500  -0.03177  -0.03556  -0.04229  -0.04326  -0.03476  -0.02210  -0.01598
      4.237500  -0.02652  -0.03080  -0.03867  -0.04087  -0.03333  -0.02126  -0.01533
      4.485000  -0.02156  -0.02628  -0.03518  -0.03851  -0.03188  -0.02038  -0.01464
      4.755000  -0.01703  -0.02211  -0.03190  -0.03622  -0.03040  -0.01944  -0.01389
      5.047500  -0.01298  -0.01836  -0.02886  -0.03398  -0.02887  -0.01839  -0.01302
      5.362500  -0.00946  -0.01505  -0.02606  -0.03181  -0.02726  -0.01719  -0.01198
      5.700000  -0.00649  -0.01220  -0.02354  -0.02970  -0.02559  -0.01586  -0.01078
      6.060000  -0.00412  -0.00988  -0.02137  -0.02778  -0.02394  -0.01448  -0.00951
      6.442501  -0.00228  -0.00803  -0.01952  -0.02599  -0.02232  -0.01304  -0.00815
      6.847501  -0.00083  -0.00651  -0.01788  -0.02430  -0.02067  -0.01149  -0.00667
      7.275001   0.00020  -0.00538  -0.01655  -0.02281  -0.01915  -0.01001  -0.00522
      7.725000   0.00091  -0.00457  -0.01549  -0.02153  -0.01776  -0.00862  -0.00385
      8.197500   0.00129  -0.00406  -0.01472  -0.02052  -0.01661  -0.00743  -0.00265
      8.692500   0.00169  -0.00356  -0.01397  -0.01952  -0.01545  -0.00621  -0.00142
      9.210000   0.00198  -0.00317  -0.01336  -0.01869  -0.01447  -0.00515  -0.00034
      9.750000   0.00218  -0.00289  -0.01289  -0.01803  -0.01368  -0.00429   0.00054
     10.000000   0.00237  -0.00267  -0.01261  -0.01768  -0.01327  -0.00384   0.00100
ZONE T="BODY CP AT MACH=  2.36 ALPHA=  8.00"
      0.000000   0.15849   0.16772   0.20037   0.26504   0.35832   0.44946   0.48858
      0.027563   0.15469   0.16381   0.19612   0.26029   0.35305   0.44380   0.48278
      0.036024   0.15353   0.16260   0.19478   0.25876   0.35133   0.44196   0.48090
      0.047066   0.15207   0.16108   0.19309   0.25684   0.34918   0.43965   0.47853
      0.061462   0.15012   0.15905   0.19085   0.25431   0.34635   0.43661   0.47542
      0.080210   0.14761   0.15645   0.18798   0.25106   0.34272   0.43271   0.47143
      0.104592   0.14437   0.15308   0.18426   0.24685   0.33802   0.42766   0.46625
      0.136239   0.14019   0.14874   0.17948   0.24144   0.33197   0.42115   0.45959
      0.177217   0.13485   0.14320   0.17336   0.23451   0.32420   0.41279   0.45103
      0.230109   0.12807   0.13615   0.16557   0.22567   0.31429   0.40212   0.44010
      0.298097   0.11953   0.12727   0.15575   0.21451   0.30175   0.38861   0.42625
      0.385031   0.10893   0.11623   0.14350   0.20055   0.28604   0.37165   0.40886
      0.495443   0.09594   0.10269   0.12843   0.18333   0.26660   0.35063   0.38729
      0.634471   0.08035   0.08641   0.11024   0.16243   0.24293   0.32498   0.36095
      0.807644   0.06209   0.06729   0.08875   0.13759   0.21465   0.29424   0.32936
      1.020440   0.04132   0.04546   0.06402   0.10879   0.18165   0.25822   0.29231
      1.277568   0.01859   0.02143   0.03649   0.07637   0.14418   0.21713   0.24996
      1.581965  -0.00521  -0.00392   0.00697   0.04110   0.10296   0.17162   0.20296
      1.933560  -0.02870  -0.02928  -0.02329   0.00420   0.05919   0.12285   0.15246
      2.328047  -0.05010  -0.05295  -0.05269  -0.03270   0.01455   0.07251   0.10013
      2.756052  -0.06729  -0.07294  -0.07941  -0.06777  -0.02903   0.02255   0.04791
      3.000000  -0.07394  -0.08150  -0.09232  -0.08571  -0.05196  -0.00416   0.01985
      3.000000  -0.07394  -0.08150  -0.09232  -0.08571  -0.05196  -0.00415   0.01986
      3.022500  -0.07247  -0.08029  -0.09165  -0.08551  -0.05203  -0.00431   0.01971
      3.067500  -0.07027  -0.07859  -0.09099  -0.08579  -0.05292  -0.00546   0.01852
      3.135000  -0.06615  -0.07523  -0.08921  -0.08536  -0.05330  -0.00609   0.01788
      3.225000  -0.06138  -0.07144  -0.08743  -0.08533  -0.05436  -0.00759   0.01634
      3.337500  -0.05532  -0.06657  -0.08499  -0.08497  -0.05526  -0.00899   0.01488
      3.472500  -0.04861  -0.06122  -0.08237  -0.08468  -0.05642  -0.01077   0.01299
      3.630000  -0.04125  -0.05532  -0.07944  -0.08425  -0.05755  -0.01261   0.01100
      3.810000  -0.03355  -0.04916  -0.07633  -0.08371  -0.05863  -0.01450   0.00891
      4.012500  -0.02572  -0.04285  -0.07306  -0.08298  -0.05952  -0.01626   0.00690
      4.237500  -0.01805  -0.03662  -0.06971  -0.08202  -0.06015  -0.01781   0.00506
      4.485000  -0.01081  -0.03067  -0.06634  -0.08083  -0.06045  -0.01905   0.00347
      4.755000  -0.00423  -0.02517  -0.06303  -0.07940  -0.06036  -0.01990   0.00225
      5.047500   0.00156  -0.02022  -0.05980  -0.07771  -0.05983  -0.02028   0.00149
      5.362500   0.00647  -0.01589  -0.05670  -0.07577  -0.05885  -0.02012   0.00127
      5.700000   0.01046  -0.01222  -0.05378  -0.07362  -0.05744  -0.01944   0.00159
      6.060000   0.01346  -0.00931  -0.05114  -0.07141  -0.05575  -0.01837   0.00234
      6.442501   0.01560  -0.00706  -0.04880  -0.06917  -0.05383  -0.01694   0.00349
      6.847501   0.01708  -0.00534  -0.04669  -0.06692  -0.05171  -0.01517   0.00503
      7.275001   0.01792  -0.00416  -0.04493  -0.06484  -0.04961  -0.01330   0.00673
      7.725000   0.01828  -0.00341  -0.04350  -0.06296  -0.04761  -0.01143   0.00848
      8.197500   0.01825  -0.00305  -0.04242  -0.06139  -0.04584  -0.00971   0.01012
      8.692500   0.01822  -0.00273  -0.04144  -0.05993  -0.04414  -0.00798   0.01182
      9.210000   0.01811  -0.00254  -0.04068  -0.05873  -0.04270  -0.00646   0.01333
      9.750000   0.01796  -0.00245  -0.04012  -0.05780  -0.04154  -0.00522   0.01458
     10.000000   0.01802  -0.00230  -0.03981  -0.05736  -0.04101  -0.00463   0.01519
ZONE T="BODY CP AT MACH=  2.36 ALPHA= 12.00"
      0.000000   0.11858   0.12519   0.15745   0.24120   0.38709   0.54981   0.62481
      0.027563   0.11515   0.12160   0.15339   0.23642   0.38150   0.54364   0.61845
      0.036024   0.11413   0.12051   0.15209   0.23484   0.37964   0.54160   0.61636
      0.047066   0.11283   0.11912   0.15046   0.23286   0.37731   0.53904   0.61374
      0.061462   0.11110   0.11727   0.14831   0.23027   0.37426   0.53569   0.61029
      0.080210   0.10887   0.11490   0.14555   0.22695   0.37035   0.53139   0.60587
      0.104592   0.10597   0.11183   0.14198   0.22265   0.36529   0.52582   0.60014
      0.136239   0.10225   0.10788   0.13739   0.21713   0.35878   0.51864   0.59276
      0.177217   0.09750   0.10282   0.13151   0.21004   0.35042   0.50941   0.58327
      0.230109   0.09146   0.09641   0.12403   0.20100   0.33973   0.49761   0.57113
      0.298097   0.08388   0.08833   0.11459   0.18957   0.32620   0.48263   0.55571
      0.385031   0.07448   0.07830   0.10282   0.17527   0.30919   0.46379   0.53630
      0.495443   0.06301   0.06602   0.08835   0.15760   0.28809   0.44034   0.51214
      0.634471   0.04928   0.05129   0.07086   0.13611   0.26230   0.41160   0.48248
      0.807644   0.03329   0.03404   0.05019   0.11049   0.23134   0.37694   0.44670
      1.020440   0.01526   0.01443   0.02640   0.08068   0.19497   0.33600   0.40437
      1.277568  -0.00426  -0.00703  -0.00011   0.04698   0.15335   0.28881   0.35549
      1.581965  -0.02431  -0.02948  -0.02859   0.01009   0.10709   0.23584   0.30047
      1.933560  -0.04349  -0.05162  -0.05786  -0.02877   0.05736   0.17813   0.24029
      2.328047  -0.05991  -0.07179  -0.08642  -0.06797   0.00589   0.11727   0.17648
      2.756052  -0.07121  -0.08800  -0.11263  -0.10560  -0.04517   0.05529   0.11092
      3.000000  -0.07399  -0.09431  -0.12551  -0.12511  -0.07247   0.02132   0.07468
      3.000000  -0.07398  -0.09431  -0.12551  -0.12511  -0.07246   0.02133   0.07468
      3.022500  -0.07213  -0.09300  -0.12514  -0.12541  -0.07316   0.02054   0.07396
      3.067500  -0.06916  -0.09104  -0.12494  -0.12651  -0.07517   0.01812   0.07154
      3.135000  -0.06388  -0.08734  -0.12397  -0.12744  -0.07725   0.01568   0.06923
      3.225000  -0.05759  -0.08306  -0.12313  -0.12899  -0.08037   0.01190   0.06548
      3.337500  -0.04966  -0.07759  -0.12183  -0.13051  -0.08368   0.00784   0.06146
      3.472500  -0.04076  -0.07150  -0.12044  -0.13222  -0.08739   0.00315   0.05670
      3.630000  -0.03093  -0.06475  -0.11877  -0.13384  -0.09111  -0.00171   0.05169
      3.810000  -0.02060  -0.05763  -0.11690  -0.13529  -0.09470  -0.00660   0.04651
      4.012500  -0.01004  -0.05028  -0.11477  -0.13639  -0.09790  -0.01122   0.04149
      4.237500   0.00033  -0.04295  -0.11238  -0.13705  -0.10054  -0.01537   0.03682
      4.485000   0.01013  -0.03588  -0.10978  -0.13720  -0.10251  -0.01887   0.03268
      4.755000   0.01904  -0.02927  -0.10698  -0.13678  -0.10369  -0.02157   0.02926
      5.047500   0.02681  -0.02327  -0.10400  -0.13577  -0.10404  -0.02335   0.02670
      5.362500   0.03331  -0.01799  -0.10092  -0.13420  -0.10356  -0.02417   0.02511
      5.700000   0.03846  -0.01351  -0.09779  -0.13214  -0.10231  -0.02406   0.02449
      6.060000   0.04221  -0.00992  -0.09478  -0.12976  -0.10048  -0.02318   0.02468
      6.442501   0.04471  -0.00717  -0.09193  -0.12716  -0.09819  -0.02163   0.02562
      6.847501   0.04623  -0.00509  -0.08928  -0.12444  -0.09555  -0.01952   0.02724
      7.275001   0.04686  -0.00371  -0.08696  -0.12180  -0.09283  -0.01714   0.02924
      7.725000   0.04686  -0.00288  -0.08499  -0.11936  -0.09017  -0.01466   0.03143
      8.197500   0.04637  -0.00252  -0.08344  -0.11724  -0.08776  -0.01231   0.03357
      8.692500   0.04587  -0.00227  -0.08209  -0.11534  -0.08551  -0.00999   0.03579
      9.210000   0.04532  -0.00217  -0.08104  -0.11377  -0.08361  -0.00795   0.03779
      9.750000   0.04478  -0.00219  -0.08028  -0.11256  -0.08209  -0.00627   0.03946
     10.000000   0.04469  -0.00210  -0.07992  -0.11204  -0.08144  -0.00552   0.04024
